City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Villa Union,MX,82.36,scattered clouds,23.2,-106.2333,My Fantasy Auto-Hotel
425,Ibipeba,BR,73.89,moderate rain,-11.6408,-42.0111,Quitanda santos
426,Arcata,US,53.58,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
427,Marsa Matruh,EG,71.8,clear sky,31.3525,27.2453,Beau Site
428,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
429,Pangkalanbuun,ID,73.09,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
430,Vazante,BR,82.18,scattered clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
434,Colesberg,ZA,71.04,broken clouds,-30.72,25.0972,Bhelekazi Guesthouse
435,Asenovgrad,BG,51.28,mist,42.0167,24.8667,Hotel Color
436,Sola,VU,81.59,overcast clouds,-13.8833,167.55,Leumerus Bungalows
438,Kenitra,MA,57.96,broken clouds,34.261,-6.5802,Bienvenue chez vous
442,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
444,Abu Kamal,SY,63.32,clear sky,34.4506,40.9171,محطة التلفاز
445,Ranong,TH,75.92,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
448,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
449,Mazara Del Vallo,IT,67.95,clear sky,37.6641,12.588,Vizier Resort & Spa
451,Benghazi,LY,70.57,clear sky,32.1167,20.0667,Tibesti Hotel
453,Beitbridge,ZW,87.53,clear sky,-22.2167,30.0,Beitbridge Express Hotel
456,Bowen,AU,79.25,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
458,Mogadishu,SO,79.48,broken clouds,2.0371,45.3438,Hotel Juba
460,Muroto,JP,60.15,broken clouds,33.2833,134.15,Oota Ryokan
462,Celestun,MX,81.72,broken clouds,20.8667,-90.4,Posada Lilia
466,Umm Lajj,SA,75.9,overcast clouds,25.0213,37.2685,Moon light Furnished Units
472,Lata,PT,56.8,scattered clouds,40.1629,-8.3327,Terraços da Beira
476,Sassandra,CI,78.17,light rain,4.95,-6.0833,la terrasse
477,Redmond,US,50.38,clear sky,47.674,-122.1215,Seattle Marriott Redmond
481,Udalguri,IN,61.38,clear sky,26.7667,92.1333,Somesh Basumatary
482,Jieshi,CN,70.83,clear sky,22.8134,115.8257,Yuehai Hotel
483,Cienfuegos,CU,84.34,broken clouds,22.1461,-80.4356,Casa Claumar B2BPay
484,Luau,AO,64.81,light rain,-10.7073,22.2247,Kimbo Hotel
486,Tra Vinh,VN,77.32,overcast clouds,9.9347,106.3453,Hồng Ân
488,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
489,Mosquera,CO,60.89,broken clouds,4.7059,-74.2302,Hotel SJ
492,Camana,PE,69.39,scattered clouds,-16.6228,-72.7111,Hostal Morales
493,Tame,CO,74.53,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
494,Mahibadhoo,MV,81.1,overcast clouds,3.7833,72.9667,Omadhoo Inn
495,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
497,Clarence Town,AU,60.85,clear sky,-32.5833,151.7833,River Downs Cottage
498,Kirkuk,IQ,58.64,clear sky,35.4681,44.3922,Cihad Oteli
503,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
505,Richards Bay,ZA,73.92,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
506,Mitsamiouli,KM,78.21,clear sky,-11.3847,43.2844,Foyer ADM
507,Ciudad Bolivar,VE,85.8,overcast clouds,8.1222,-63.5497,Hotel Edi
508,Novita,CO,79.56,overcast clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
510,Flinders,AU,57.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
511,Isla Mujeres,MX,80.65,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
513,Calama,CL,77.49,clear sky,-22.4667,-68.9333,Park Hotel Calama
514,Zhob,PK,54.52,overcast clouds,31.3411,69.4481,Afghan Kor Zhob
515,Mbuji-Mayi,CD,68.85,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
517,Bhuj,IN,71.74,clear sky,23.2667,69.6667,Regenta Resort Bhuj
518,Souillac,MU,68.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
521,Sao Gabriel Da Cachoeira,BR,82.2,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
522,Bombay,IN,78.78,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
523,Veraval,IN,74.91,clear sky,20.9,70.3667,Lords Inn Somnath
525,San Quintin,MX,65.21,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
