City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Jining,CN,35.405,116.5814,51.55,84,100,3.47,overcast clouds
312,Lagoa,PT,39.05,-27.9833,62.55,68,83,14.27,broken clouds
313,Cochrane,CA,51.1834,-114.4687,33.91,29,13,5.93,few clouds
314,Talnakh,RU,69.4865,88.3972,7.21,93,100,19.84,light snow
315,Koslan,RU,63.4564,48.8989,13.14,95,18,5.3,few clouds
316,Buluang,PH,13.3068,123.3425,76.48,91,100,4.14,heavy intensity rain
317,Sabang,ID,5.8933,95.3214,80.6,78,100,12.08,light rain
318,Kamwenge,UG,0.1866,30.4539,61.93,97,97,1.7,overcast clouds
319,Hami,CN,42.8,93.45,33.66,54,27,6.15,scattered clouds
320,Te Anau,NZ,-45.4167,167.7167,55.74,85,100,0.81,overcast clouds
321,Valparaiso,CL,-33.0393,-71.6273,82.63,69,0,17.27,clear sky
322,Ouagadougou,BF,12.3642,-1.5383,80.53,23,97,6.44,overcast clouds
323,Manzhouli,CN,49.6,117.4333,21.61,96,100,5.91,overcast clouds
324,Mandera,KE,3.9366,41.867,84.27,51,52,8.01,light rain
325,Billings,US,45.7833,-108.5007,22.28,56,20,32.21,few clouds
326,Dori,BF,14.0354,-0.0345,81.66,17,93,5.73,overcast clouds
327,Gunnedah,AU,-30.9833,150.25,57.52,63,7,3.13,clear sky
328,Mojoagung,ID,-7.5667,112.35,75.47,95,100,4.5,heavy intensity rain
329,Teluk Nibung,ID,3.001,99.8164,74.86,94,100,8.46,heavy intensity rain
330,Imeni Poliny Osipenko,RU,52.4201,136.4853,9.93,98,69,1.66,broken clouds
331,Santa Lucia,ES,27.9117,-15.5407,63.77,73,20,14.97,few clouds
332,Teguldet,RU,57.3064,88.1667,3.42,99,91,3.87,overcast clouds
333,Kahului,US,20.8947,-156.47,83.97,68,0,14.0,clear sky
334,Balykshi,KZ,47.0667,51.8667,39.2,81,100,13.42,mist
335,Belmonte,BR,-15.8631,-38.8828,73.45,93,100,9.19,light rain
336,Nome,US,64.5011,-165.4064,33.87,93,100,4.61,light snow
337,Borzya,RU,50.3833,116.5167,21.18,96,100,5.12,light snow
338,Wanning,CN,18.8003,110.3967,76.84,85,100,7.18,overcast clouds
339,Touros,BR,-5.1989,-35.4608,79.92,69,10,11.3,clear sky
340,Qorveh,IR,35.1664,47.8045,39.49,53,0,5.21,clear sky
341,Altamira,BR,-3.2033,-52.2064,89.69,58,40,4.61,scattered clouds
342,Grand Gaube,MU,-20.0064,57.6608,69.39,67,1,3.0,clear sky
343,Ronne,DK,55.1009,14.7066,37.31,56,75,6.91,broken clouds
